Company Name ,Ticker Symbol ,GICS Sector ,Country ,Disclosure Score,Performance Band,Scope 1 (metric tonnes CO2e),Scope 2 (metric tonnes CO2e)
"Wal-Mart Stores, Inc.",WMT US,Consumer Staples,USA,86,B,5804559,15660871
Walt Disney Company,DIS US,Consumer Discretionary,USA,53,D,661493,863344
"WellPoint, Inc.",WLP US,Health Care,USA,69,C,7712,133658
Wells Fargo & Company,WFC US,Financials,USA,95,A,105454,1495594
Wesfarmers,WES AU,Consumer Staples,Australia,77,B,3069669,3090631
Westfield Group,WDC AU,Financials,Australia,78,D,31126,479785
Westpac Banking Corporation,WBC AU,Financials,Australia,83,A,21463,179662
Wipro,WPRO IN,Information Technology,India,95,B,65129,241966
Woodside Petroleum,WPL AU,Energy,Australia,79,B,7890419,8184
Woolworths Limited,WOW AU,Consumer Staples,Australia,93,B,398653,2531027
Yahoo! Inc.,YHOO US,Information Technology,USA,59,D,4000,397397
"Yum! Brands, Inc.",YUM US,Consumer Discretionary,USA,85,B,83397,2350100
Astra International,ASII IJ,Consumer Discretionary,Indonesia,11,,#N/A,#N/A
BlackRock,BLK US,Financials,USA,55,E,#N/A,#N/A
BRF S.A,BRFS3 BZ,Consumer Staples,Brazil,62,D,#N/A,#N/A
Bridgestone Corporation,5108 JP,Consumer Discretionary,Japan,88,C,#N/A,#N/A
Canon Inc.,7751 JP,Information Technology,Japan,85,B,#N/A,#N/A
Central Japan Railway Company,9022 JP,Industrials,Japan,22,,#N/A,#N/A
CNOOC,883 HK,Energy,China,33,,#N/A,#N/A
Compagnie Financière Richemont SA,CFR VX,Consumer Discretionary,Switzerland,79,C,#N/A,#N/A
Compass,CPG LN,Consumer Discretionary,United Kingdom,51,D,#N/A,#N/A
Danaher Corporation,DHR US,Industrials,USA,16,,#N/A,#N/A
East Japan Railway Company,9020 JP,Industrials,Japan,45,,#N/A,#N/A
Fresenius Medical Care AG & Co. KGaA,FME GR,Health Care,Germany,55,E,#N/A,#N/A
Glencore International AG,GLEN LN,Materials,Switzerland,64,E,#N/A,#N/A
Hong Kong Exchanges & Clearing,388 HK,Financials,Hong Kong,79,D,#N/A,#N/A
"Illinois Tool Works, Inc.",ITW US,Industrials,USA,76,E,#N/A,#N/A
Itochu Corporation,8001 JP,Industrials,Japan,61,D,#N/A,#N/A
Japan Tobacco Inc.,2914 JP,Consumer Staples,Japan,83,B,#N/A,#N/A
Kyocera Corporation,6971 JP,Information Technology,Japan,56,E,#N/A,#N/A
Las Vegas Sands Corporation,LVS US,Consumer Discretionary,USA,83,C,#N/A,#N/A
Li & Fung Limited,494 HK,Consumer Discretionary,Hong Kong,74,B,#N/A,#N/A
Malayan Banking,MAY MK,Financials,Malaysia,58,D,#N/A,#N/A
Manulife Financial Corp.,MFC CN,Financials,Canada,57,C,#N/A,#N/A
MasterCard Incorporated,MA US,Information Technology,USA,39,,#N/A,#N/A
McDonald's Corporation,MCD US,Consumer Discretionary,USA,63,D,#N/A,#N/A
"Mitsubishi Estate Co., Ltd.",8802 JP,Financials,Japan,21,,#N/A,#N/A
"Mitsui & Co., Ltd.",8031 JP,Industrials,Japan,69,C,#N/A,#N/A
