"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"ISRL","Isramco, Inc.","129.99","353272653.09","n/a","1983","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/isrl",
"IVAN","Ivanhoe Energy, Inc.","1.52","24933266.8","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/ivan",
"JONE","Jones Energy, Inc.","12.57","620207709.27","n/a","2013","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/jone",
"JOY","Joy Global Inc.","52.7","5173849429.7","n/a","n/a","Energy","Industrial Machinery/Components","http://www.nasdaq.com/symbol/joy",
"KEG","Key Energy Services, Inc.","3.75","575758068.75","n/a","n/a","Energy","Oilfield Services/Equipment","http://www.nasdaq.com/symbol/keg",
"KMR","Kinder Morgan Management, LLC","95.4","12742165299.6","n/a","n/a","Energy","Natural Gas Distribution","http://www.nasdaq.com/symbol/kmr",
"KOG","Kodiak Oil & Gas Corp.","11.1","2966518412.1","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/kog",
"PHG","Koninklijke Philips N.V.","26.71","24572478830","n/a","n/a","Energy","Consumer Electronics/Appliances","http://www.nasdaq.com/symbol/phg",
"KOS","Kosmos Energy Ltd.","9.29","3593652743.8","n/a","2011","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/kos",
"LPI","Laredo Petroleum, Inc.","19.06","2740112182.64","n/a","2011","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/lpi",
"LGCY","Legacy Reserves LP","23.44","1586101212.96","n/a","2007","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/lgcy",
"LGCYO","Legacy Reserves LP","24.0399","168279300","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/lgcyo",
"LGCYP","Legacy Reserves LP","24.25","48500000","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/lgcyp",
"LLEX","Lilis Energy, Inc.","1.6","44366123.2","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/llex",
"LNCO","Linn Co, LLC","23.87","3068349433.38","n/a","2012","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/lnco",
"LINE","Linn Energy, LLC","25.51","8462413065.46","n/a","2006","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/line",
"LRE","LRR Energy, L.P.","17.18","471584110.82","n/a","2011","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/lre",
"LEI","Lucas Energy, Inc.","0.3999","13367330.9316","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/lei",
"MIC","Macquarie Infrastructure Company LLC","67.29","4710390706.92","n/a","2004","Energy","Oil Refining/Marketing","http://www.nasdaq.com/symbol/mic",
"MMP","Magellan Midstream Partners L.P.","81.26","18451566563.82","n/a","n/a","Energy","Natural Gas Distribution","http://www.nasdaq.com/symbol/mmp",
